CustomerFirstName,CustomerLastName,CustomerUserName,CustomerPassword,UserTimeInserted,CustomerAddress,CustomerDeliveryAddress,CustomerEmail,CustomerPhone,CustomerConfirmationCode,EmployeeCode,EmployeeFirstName,EmployeeLastName,CityName,CityPostalCode,UnitName,UnitShort,CatalogStatusName
Brandon,Wright,doneill,!!!27!?abc60,2010-01-16,2023-04-14 00:42:42,21820 Ray Trafficway Suite 086,928 Campbell Land Suite 988,hnunez@example.org,425-235-6780,0K07CXZQ,cb7c2b30cfb201gb1abg,Melissa,Mckay,Sanchezbury,32538,pound,lb,2023-04-14 00:34:54,2023-04-14 00:35:01
Daniel,Roberts,nicholsonmathew,?g!5@<66#f>?,1985-10-26,2023-04-14 00:38:06,684 Dickerson Grove,502 Alexis Junction Suite 186,suzannevillegas@example.net,001-090-702-5622x6258,GFXJGU1E,0524abc4g27bggby8b30,Brian,Pham,East Laura,76429,liter,l,2023-04-14 00:36:12,2023-04-14 00:39:12
Sharon,Beard,davidthompson,3<acf?f!<527,1989-04-03,2023-04-14 00:34:13,82427 Flores Terrace Apt. 213,68116 Harrison Corner Suite 632,williamscassie@example.com,001-406-592-8216x561,3FS1UNHS,2fgf17yfgb1178y2117a,Deanna,Massey,South Bradtown,97380,kilogram,kg,2023-04-14 00:34:07,2023-04-14 00:37:37
Janet,Ashley,christopherhale,c?2c5<cb?<0#,2013-09-27,2023-04-14 00:39:09,53239 Powers Via Apt. 875,97052 Davis Centers,sara08@example.net,(423)667-6649x4149,ZMMC36FL,818832b975ay94242c71,Kim,Meyer,South Angelfort,37619,pound,lb,2023-04-14 00:35:31,2023-04-14 00:38:44
Amanda,Lee,lmanning,a<91297c6b3<,1995-12-02,2023-04-14 00:35:10,89184 Espinoza Island,0840 Shannon Drives,rhammond@example.org,+1-986-687-4462x084,L0SYHRFW,g2a072ffa767gfgg1a33,Jason,Sheppard,Kimberlyland,14650,gram,g,2023-04-14 00:35:57,2023-04-14 00:40:12
Misty,Pugh,jamie61,0b6795c0f2>y,1983-11-03,2023-04-14 00:34:30,99472 Schneider Village,308 Vance Isle Suite 832,dtate@example.net,+1-346-653-5285x508,KQZOQ82N,bgg2bb9fc39a5ay413y4,Thomas,Mccormick,Lake Vanessa,41914,liter,l,2023-04-14 00:33:52,2023-04-14 00:39:48
Kayla,Munoz,ebenjamin,yb9<?*0843gg,1983-08-09,2023-04-14 00:36:59,5621 Tyler Hills Suite 156,8153 Perez Unions,etucker@example.com,2017042771,DA18378J,0c7ay1106317c16b9a2f,Laura,Bishop,Jonesport,36198,gram,g,2023-04-14 00:36:09,2023-04-14 00:40:17
Caleb,Doyle,dodsonhaley,4b0b>3g6#a45,2008-10-07,2023-04-14 00:37:31,116 Caleb Station,491 Sullivan Lights Suite 450,bmoreno@example.net,+1-659-658-0160x87868,MTVSRK1S,9a3aya0754b8bbccga93,Marissa,Price,Allisonland,52558,pound,lb,2023-04-14 00:33:45,2023-04-14 00:39:53
Ronald,Stanton,shelia46,445y@<3@f417,1995-07-09,2023-04-14 00:37:00,5820 Lee Square Suite 293,388 Bryant Glen Apt. 041,devonchang@example.net,+1-980-212-6090x49490,F8TQXFVH,56cgffyf6cc98bg25761,Courtney,Cline,Payneport,70801,liter,l,2023-04-14 00:35:47,2023-04-14 00:38:36
Kerry,Martin,jasonmercado,*3b@##c6@2fa,1991-12-28,2023-04-14 00:40:36,5211 Booker Land,453 Watts Passage,dianewilliams@example.org,4208131963,K0WGDQG5,c670yy001c0483226509,Amy,Kemp,Amberport,14039,ounce,oz,2023-04-14 00:33:45,2023-04-14 00:37:34
